geo,month,hicp_i15,hicp_2021_100
EE,2025-06,163.64,142.6408844594889
EE,2025-07,164.55,143.4341086397513
EE,2025-08,166.05,144.74162102479914
EE,2025-09,164.19,143.12030566733978
EE,2025-10,164.34,143.25105690584456
EE,2025-11,163.55,142.56243371638604
EE,2025-12,162.91,142.00456176543227
ES,2020-01,103.42,96.61959111221836
ES,2020-02,103.36,96.56353642775952
ES,2020-03,103.98,97.14276816716753
ES,2020-04,104.35,97.48843872133035
ES,2020-05,104.41,97.54449340578918
ES,2020-06,104.87,97.9742459866403
ES,2020-07,103.23,96.44208461143204
ES,2020-08,103.23,96.44208461143204
ES,2020-09,103.69,96.87183719228312
ES,2020-10,104.01,97.17079550939694
ES,2020-11,104.12,97.27356243090482
ES,2020-12,104.28,97.42304158946172
ES,2021-01,103.87,97.04000124565965
ES,2021-02,103.27,96.47945440107125
ES,2021-03,105.22,98.30123164598352
ES,2021-04,106.39,99.39429799293087
ES,2021-05,106.95,99.91747504788003
ES,2021-06,107.46,100.39393986578015
ES,2021-07,106.18,99.19810659732494
ES,2021-08,106.65,99.63720162558585
ES,2021-09,107.87,100.77698020958223
ES,2021-10,109.6,102.39322361147873
ES,2021-11,109.87,102.64546969154354
ES,2021-12,111.13,103.82261806517914
ES,2022-01,110.26,103.00982514052596
ES,2022-02,111.15,103.84130295999876
ES,2022-03,115.51,107.91461003067437
ES,2022-04,115.21,107.63433660838015
ES,2022-05,116.03,108.40041729598431
ES,2022-06,118.22,110.44641327873191
ES,2022-07,117.54,109.81112685486507
ES,2022-08,117.84,110.09140027715927
ES,2022-09,117.55,109.82046930227487
ES,2022-10,117.61,109.87652398673372
ES,2022-11,117.22,109.51216853775125
ES,2022-12,117.22,109.51216853775125
ES,2023-01,116.72,109.04504616726094
ES,2023-02,117.82,110.07271538233965
ES,2023-03,119.06,111.23117886115566
ES,2023-04,119.61,111.745013468695
ES,2023-05,119.44,111.58619186272828
ES,2023-06,120.13,112.23082073400494
ES,2023-07,120.03,112.13739625990688
ES,2023-08,120.68,112.7446553415443
ES,2023-09,121.38,113.39862666023075
ES,2023-10,121.69,113.68824252993474
ES,2023-11,121.05,113.09032589570714
ES,2023-12,121.06,113.09966834311696
ES,2024-01,120.82,112.87544960528157
ES,2024-02,121.29,113.3145446335425
ES,2024-03,122.93,114.84670600875076
ES,2024-04,123.67,115.53804711707643
ES,2024-05,123.95,115.799635644551
ES,2024-06,124.44,116.25741556763151
ES,2024-07,123.51,115.38856795851953
ES,2024-08,123.54,115.41659530074895
