country,month,awd_median_eur__cyber_broad,awd_median_eur__cyber_strict,awd_median_eur__ict_generic,awd_median_eur__other,awd_total_eur__cyber_broad,awd_total_eur__cyber_strict,awd_total_eur__ict_generic,awd_total_eur__other,awd_total_eur_real__cyber_broad,awd_total_eur_real__cyber_strict,awd_total_eur_real__ict_generic,awd_total_eur_real__other,est_median_eur__cyber_broad,est_median_eur__cyber_strict,est_median_eur__ict_generic,est_median_eur__other,est_total_eur__cyber_broad,est_total_eur__cyber_strict,est_total_eur__ict_generic,est_total_eur__other,est_total_eur_real__cyber_broad,est_total_eur_real__cyber_strict,est_total_eur_real__ict_generic,est_total_eur_real__other,n_awards__cyber_broad,n_awards__cyber_strict,n_awards__ict_generic,n_awards__other,n_tenders__cyber_broad,n_tenders__cyber_strict,n_tenders__ict_generic,n_tenders__other,n_cyber,n_cyber_strict,n_ict72,n_ict_generic,cyber_share,v_cyber_real,v_cyber_nom,v_cyber_awd,v_cyber_awd_real,cyber_strict_est_median_eur,cyber_strict_awd_median_eur,group,treat_month,treated,rel_month,post_eforms
BE,2025-05,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,49.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,1,7.0,1
BE,2025-06,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,53.0,0.0,0.0,5.0,75.0,0.0,5.0,5.0,80.0,75.0,0.0625,,,0.0,0.0,,,early,2024-10,1,8.0,1
BE,2025-07,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,40.0,0.0,0.0,2.0,108.0,0.0,2.0,2.0,110.0,108.0,0.01818181818181818,,,0.0,0.0,,,early,2024-10,1,9.0,1
BE,2025-08,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,69.0,0.0,0.0,1.0,55.0,0.0,1.0,1.0,56.0,55.0,0.017857142857142856,,,0.0,0.0,,,early,2024-10,1,10.0,1
BE,2025-09,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,35.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,78.0,78.0,0.0,0.0,0.0,,,,,early,2024-10,1,11.0,1
BE,2025-10,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,59.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,1,12.0,1
BE,2025-11,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,39.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,,,,,early,2024-10,1,13.0,1
BE,2025-12,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,49.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,78.0,78.0,0.0,0.0,0.0,,,,,early,2024-10,1,14.0,1
BE,2026-01,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,58.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,1,15.0,1
BE,2026-02,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,32.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,,,,,early,2024-10,1,16.0,1
BE,2026-03,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,45.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,1,17.0,1
BE,2026-04,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,31.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,1,18.0,1
