country,month,category,n_tenders,est_total_eur,est_median_eur,est_total_eur_real,est_median_eur_real,n_awards,awd_total_eur,awd_median_eur,awd_total_eur_real,awd_median_eur_real,value_missing_share,group,treat_date,treat_month,treat_month_alt,treated,rel_month,post_eforms,month_2023_10
BE,2022-05,cyber_strict,2.0,,,,,0.0,0.0,,0.0,,1.0,early,2024-10-18,2024-10,2024-11,0,-29.0,0,0
BE,2022-05,ict_generic,36.0,,,,,27.0,121187430.46000001,1431134.365,111325983.09607366,1314677.9292328274,0.6825396825396826,early,2024-10-18,2024-10,2024-11,0,-29.0,0,0
BE,2022-05,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-29.0,0,0
BE,2022-06,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-28.0,0,0
BE,2022-06,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-28.0,0,0
BE,2022-06,ict_generic,33.0,,,,,15.0,80001449.03999999,508500.0,72767425.59541932,462519.5713238886,0.7083333333333334,early,2024-10-18,2024-10,2024-11,0,-28.0,0,0
BE,2022-06,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-28.0,0,0
BE,2022-07,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-27.0,0,0
BE,2022-07,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-27.0,0,0
BE,2022-07,ict_generic,73.0,,,,,27.0,2822510769.02,588345.0,2583909190.107037,538609.1238834711,0.82,early,2024-10-18,2024-10,2024-11,0,-27.0,0,0
BE,2022-07,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-27.0,0,0
BE,2022-08,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-26.0,0,0
BE,2022-08,cyber_strict,1.0,,,,,0.0,0.0,,0.0,,1.0,early,2024-10-18,2024-10,2024-11,0,-26.0,0,0
BE,2022-08,ict_generic,28.0,,,,,28.0,62863245.35999999,681644.095,56525394.95617032,612920.9758224337,0.6071428571428571,early,2024-10-18,2024-10,2024-11,0,-26.0,0,0
BE,2022-08,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-26.0,0,0
BE,2022-09,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-25.0,0,0
BE,2022-09,cyber_strict,1.0,,,,,0.0,0.0,,0.0,,1.0,early,2024-10-18,2024-10,2024-11,0,-25.0,0,0
BE,2022-09,ict_generic,39.0,,,,,28.0,51293372.18,793280.0,45513870.7594272,703896.8557055864,0.7014925373134329,early,2024-10-18,2024-10,2024-11,0,-25.0,0,0
BE,2022-09,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-25.0,0,0
BE,2022-10,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-24.0,0,0
BE,2022-10,cyber_strict,0.0,0.0,,0.0,,1.0,1.0,1.0,0.8639920082495486,0.8639920082495486,0.0,early,2024-10-18,2024-10,2024-11,0,-24.0,0,0
BE,2022-10,ict_generic,35.0,,,,,30.0,63634827.14,487912.0,54979982.09530149,421552.0687290538,0.7076923076923077,early,2024-10-18,2024-10,2024-11,0,-24.0,0,0
BE,2022-10,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-24.0,0,0
BE,2022-11,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-23.0,0,0
BE,2022-11,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-23.0,0,0
BE,2022-11,ict_generic,39.0,,,,,29.0,205520731.71,1028905.25,179273657.18518174,897503.650993272,0.6617647058823529,early,2024-10-18,2024-10,2024-11,0,-23.0,0,0
