country,month,sector,annex,risk_zone,n_cyber_tenders,n_ict72_tenders,est_value_cyber_real,treat_month,post_eforms
BE,2022-03,housing,,0,0.0,0.0,0.0,2024-10,0
BE,2022-03,other_unknown,,0,0.0,42.0,0.0,2024-10,0
BE,2022-03,postal,II,0,0.0,0.0,0.0,2024-10,0
BE,2022-03,public_admin,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-03,public_order,,0,0.0,0.0,0.0,2024-10,0
BE,2022-03,recreation,,0,0.0,0.0,0.0,2024-10,0
BE,2022-03,social,,0,0.0,0.0,0.0,2024-10,0
BE,2022-03,space,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-03,transport_maritime,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-03,transport_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-03,water,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-04,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-04,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2022-04,education,,0,0.0,0.0,0.0,2024-10,0
BE,2022-04,energy_gas,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-04,energy_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-04,environment,,0,0.0,0.0,0.0,2024-10,0
BE,2022-04,health,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-04,housing,,0,0.0,0.0,0.0,2024-10,0
BE,2022-04,other_unknown,,0,0.0,46.0,0.0,2024-10,0
BE,2022-04,postal,II,0,0.0,0.0,0.0,2024-10,0
BE,2022-04,public_admin,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-04,public_order,,0,0.0,0.0,0.0,2024-10,0
BE,2022-04,recreation,,0,0.0,0.0,0.0,2024-10,0
BE,2022-04,social,,0,0.0,0.0,0.0,2024-10,0
BE,2022-04,space,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-04,transport_maritime,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-04,transport_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-04,water,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-05,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-05,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2022-05,education,,0,0.0,0.0,0.0,2024-10,0
BE,2022-05,energy_gas,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-05,energy_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-05,environment,,0,0.0,0.0,0.0,2024-10,0
BE,2022-05,health,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-05,housing,,0,0.0,0.0,0.0,2024-10,0
BE,2022-05,other_unknown,,0,2.0,41.0,0.0,2024-10,0
BE,2022-05,postal,II,0,0.0,0.0,0.0,2024-10,0
BE,2022-05,public_admin,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-05,public_order,,0,0.0,0.0,0.0,2024-10,0
BE,2022-05,recreation,,0,0.0,0.0,0.0,2024-10,0
BE,2022-05,social,,0,0.0,0.0,0.0,2024-10,0
BE,2022-05,space,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-05,transport_maritime,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-05,transport_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-05,water,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-06,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-06,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2022-06,education,,0,0.0,0.0,0.0,2024-10,0
BE,2022-06,energy_gas,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-06,energy_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-06,environment,,0,0.0,0.0,0.0,2024-10,0
BE,2022-06,health,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-06,housing,,0,0.0,0.0,0.0,2024-10,0
BE,2022-06,other_unknown,,0,0.0,33.0,0.0,2024-10,0
BE,2022-06,postal,II,0,0.0,0.0,0.0,2024-10,0
BE,2022-06,public_admin,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-06,public_order,,0,0.0,0.0,0.0,2024-10,0
BE,2022-06,recreation,,0,0.0,0.0,0.0,2024-10,0
BE,2022-06,social,,0,0.0,0.0,0.0,2024-10,0
BE,2022-06,space,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-06,transport_maritime,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-06,transport_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-06,water,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-07,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-07,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2022-07,education,,0,0.0,0.0,0.0,2024-10,0
BE,2022-07,energy_gas,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-07,energy_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-07,environment,,0,0.0,0.0,0.0,2024-10,0
BE,2022-07,health,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-07,housing,,0,0.0,0.0,0.0,2024-10,0
BE,2022-07,other_unknown,,0,0.0,77.0,0.0,2024-10,0
BE,2022-07,postal,II,0,0.0,0.0,0.0,2024-10,0
BE,2022-07,public_admin,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-07,public_order,,0,0.0,0.0,0.0,2024-10,0
BE,2022-07,recreation,,0,0.0,0.0,0.0,2024-10,0
BE,2022-07,social,,0,0.0,0.0,0.0,2024-10,0
BE,2022-07,space,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-07,transport_maritime,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-07,transport_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-07,water,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-08,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-08,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2022-08,education,,0,0.0,0.0,0.0,2024-10,0
BE,2022-08,energy_gas,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-08,energy_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-08,environment,,0,0.0,0.0,0.0,2024-10,0
BE,2022-08,health,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-08,housing,,0,0.0,0.0,0.0,2024-10,0
BE,2022-08,other_unknown,,0,1.0,31.0,0.0,2024-10,0
BE,2022-08,postal,II,0,0.0,0.0,0.0,2024-10,0
BE,2022-08,public_admin,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-08,public_order,,0,0.0,0.0,0.0,2024-10,0
BE,2022-08,recreation,,0,0.0,0.0,0.0,2024-10,0
BE,2022-08,social,,0,0.0,0.0,0.0,2024-10,0
BE,2022-08,space,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-08,transport_maritime,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-08,transport_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-08,water,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-09,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
