Coefficient,ev_m18,ev_m17,ev_m16,ev_m15,ev_m14,ev_m13,ev_m12,ev_m11,ev_m10,ev_m9,ev_m8,ev_m7,ev_m6,ev_m5,ev_m4,ev_m3,ev_m2,ev_p0,ev_p1,ev_p2,ev_p3,ev_p4,ev_p5,ev_p6,ev_p7,ev_p8,ev_p9,ev_p10,ev_p11,ev_p12,ev_p13,ev_p14,ev_p15,ev_p16,ev_p17,ev_p18
ev_p6,0.029485817206605786,0.037121442619921154,0.026427951439474868,0.03137140770923131,0.030312012148779714,0.031482023888530046,0.03989020650376221,0.027853402886617945,0.02869972535678716,0.028154271000061917,0.029328621239077573,0.02890676318073119,0.02259693905968327,0.01674325405712677,0.018256275453942095,0.041064631544937794,0.03990121735647256,0.024916800754636127,0.037015108617212925,0.026250349964918335,0.041184066459353276,0.034614289684809986,0.025888093523626494,0.04729122019490999,0.030143484267540217,0.031876372288755755,0.035032054699087455,0.04307735932911816,0.04738225185527306,0.026351227566967488,0.04777572434357487,0.048234036125660275,0.03839472172087052,0.05960132408839697,0.009580986805042574,0.03502564336382423
ev_p7,0.025724982036267656,0.030191559694949195,0.0382081709580872,0.037843753798668285,0.026062572756236028,0.02887689607622495,0.025749184669034735,0.017541216375293246,0.00854290055808149,0.02417061295435894,0.02308248169636815,0.007557644715469015,0.010829164031688238,0.019077659335570908,0.009948922788365873,0.01981315891401881,0.029180326773022888,0.019082228331107686,0.03735688071624759,0.028349736437107816,0.02308730134483792,0.014611288642196959,0.020480272498170984,0.03014348426754017,0.04270292667531402,0.026209829217727097,0.029141772799450183,0.034072067757599224,0.02516636268936152,0.016185553537946984,0.038042651458830075,0.04167832379209132,0.02128021339426699,0.03280438945162587,0.01827729084344378,0.0376503397674875
ev_p8,0.032696084109975564,0.023274254599992175,0.0262212243352121,0.043386396810683826,0.027821827326095908,0.03389601079567561,0.03016990313155725,0.0361846068444721,0.02290755532661192,0.022370944965480283,0.026917972862744128,0.03405619878170731,0.029778689335354772,0.01255409385529756,0.028073898403989255,0.02670892111583806,0.02448352203913825,0.029380773113839385,0.04492759859224118,0.005267898625561991,0.026654954146019115,0.028633770257841105,0.0327379616084386,0.031876372288755644,0.026209829217727038,0.06699704886026846,0.023918732917785263,0.03942476162662181,0.015605110059436596,0.015322547680902833,0.05876163476029654,0.04747150666411132,0.03760737537673076,0.06673128072202503,0.05181289648390206,0.04656380380091507
ev_p9,0.01679557371938963,0.01367694173094582,0.02549180940678584,0.020914618725403077,0.020706293105282308,0.03054484258009773,0.011922674367856082,0.023927084264202685,0.020334192150522595,0.014399452786622911,0.006537254842178766,0.010098718402971772,0.006578317359117336,0.015572801899854544,0.0051139928481359,0.0410887220434013,0.03987493170511327,0.026775269203325337,0.044054507300072154,0.034899991700968955,0.025344305052851502,0.0259827447604711,0.019095664131601433,0.03503205469908718,0.02914177279944988,0.023918732917785082,0.06283534528000834,0.05339590471759203,0.03537521228255554,0.05663816815787403,0.06440488028255223,0.05040317830939029,0.044699612925314686,0.07006827989168789,0.0034644568201219876,0.04031851234857181
ev_p10,0.022591830198961164,0.023465094020284887,0.027772437314522537,0.022244977107423295,0.025446748285207547,0.028494373621381526,0.02680198372756618,0.0218187925892679,0.01868095173165375,0.018279543473158497,0.013343355672411806,0.01922574663735952,0.00974598545113538,0.013629258752844733,0.00850957924615496,0.03961075442792359,0.03428255739429762,0.0313616890499156,0.044084666391768404,0.0232615112054974,0.027816922516525622,0.029062734038777852,0.030625012569787,0.043077359329118034,0.034072067757599134,0.039424761626621785,0.053395904717592174,0.06266730146073889,0.04462356149035764,0.04065580304405549,0.06167635112772626,0.06551731047339412,0.05422633342505703,0.08085564243840149,0.01280901243615166,0.04672709463287635
ev_p11,0.020238217409998177,0.02902311508378402,-0.000989620262097197,0.017218691358198427,0.02023716053893328,0.0027477054864283477,0.03724727860531424,0.013147411149539554,0.017077605163484992,0.009645588210275518,0.029610117519205895,0.031541662001996165,0.008273498325132342,0.01864094181085229,0.020435962497916793,0.040646463335973174,0.01749995291002659,0.01861373672866024,0.019433332851032176,0.022543312473579987,0.052400061889587075,0.03369735475568811,0.015161208445488,0.0473822518552729,0.025166362689361368,0.015605110059436588,0.035375212282555704,0.044623561490357636,0.08990698013028037,0.030203660525766004,0.036464118158447516,0.06205817773058368,0.04217607168915905,0.056571894204345864,0.004425038790974086,0.046434768982098834
ev_p12,0.012515949798407347,0.007694530572476259,0.016889798013139754,0.020286780122453184,0.01578022083660504,0.028397161819474794,0.006989048165684147,0.02528648645338751,0.021436576646457733,0.00462290646888108,0.0030654130323043323,0.008388845707011199,0.006154178554032963,0.017739065794603163,0.0042926504834799074,0.03529060766574799,0.03633394456397779,0.019421384353522614,0.03596585313336526,0.03292750902367027,0.025974239764370858,0.02903442217454912,0.012329202118011218,0.02635122756696744,0.016185553537946897,0.015322547680902871,0.05663816815787419,0.04065580304405553,0.030203660525766018,0.06193767415355956,0.06522730395137935,0.03572772469828792,0.04085667541106248,0.060277353235712615,0.006549602224800748,0.03397302458690109
ev_p13,0.04209961869732271,0.03055377938428965,0.05134523835199951,0.0588049054688968,0.03875028472318297,0.06191867213997948,0.03463541636800033,0.04904347027754873,0.03492840796414988,0.01459496917215048,0.02436703051625235,0.032248665498780825,0.02450036397583025,0.029441957140272212,0.019037516483653167,0.04643140528278406,0.05678961971541153,0.0325514603500059,0.06669541007717897,0.04072960631454119,0.05285892991862804,0.049925417717824404,0.03695677035591708,0.04777572434357459,0.03804265145882984,0.0587616347602964,0.06440488028255223,0.06167635112772613,0.036464118158447405,0.0652273039513791,0.11384325512750627,0.0664567076437058,0.06301980750747954,0.09915533190857913,0.053977590012898195,0.07064170405069874
ev_p14,0.03353175350710596,0.03443122552038753,0.02754157348423817,0.03680460768105969,0.03371692996535221,0.029126677763415314,0.03964964950691028,0.0301361163271109,0.02062642673112163,0.017552581604568518,0.026973519940527206,0.03029049698526902,0.015302089296822216,0.023366081665656943,0.016842253793983627,0.03792766149618008,0.02891421836570386,0.03655700351370072,0.048953117849396134,0.01996726346799898,0.04057596641212677,0.03152511380362536,0.037100586561694154,0.048234036125660275,0.0416783237920914,0.04747150666411142,0.05040317830939056,0.06551731047339425,0.06205817773058379,0.03572772469828807,0.06645670764370609,0.08492386594059467,0.05900858716487879,0.08328874413654862,0.03068429122252226,0.06516127489248251
ev_p15,0.020201018227869585,0.01240763894246903,0.015300663334000153,0.02121983718208459,0.017416107982598107,0.01951046252108472,0.02208158306266434,0.021913423615363144,0.018848751373164385,0.002808336876817773,0.011736798521704552,0.02405716545889079,0.011669204828760335,0.014790641602321382,0.009422542897768173,0.035478318000358375,0.02765997023888489,0.02694096654964799,0.03260051502840135,0.013229768621946178,0.028950591559321854,0.03831181693623666,0.027924332890182573,0.0383947217208703,0.021280213394266778,0.03760737537673068,0.044699612925314776,0.05422633342505698,0.042176071689159,0.04085667541106236,0.06301980750747962,0.05900858716487859,0.06345194289714186,0.07927798199782071,0.012729754503224392,0.038109321353900404
